Nazwa,Regon,Rok,Okres,Dzial,Rozdzial,Paragraf,P4,PL,NA,DW,NO,NZ,NP
Szkoła Podstawowa Nr 7,001070630     ,2022,4,801,80101,069,0,200.00,132.00,132.00,0,0,0
Szkoła Podstawowa Nr 7,001070630     ,2022,4,801,80101,075,0,15000.00,17544.56,17094.56,450.00,450.00,0
Szkoła Podstawowa Nr 7,001070630     ,2022,4,801,80101,092,0,2000.00,2038.59,2038.59,0,0,0
Szkoła Podstawowa Nr 7,001070630     ,2022,4,801,80101,097,0,600.00,516.76,516.76,0,0,0
Szkoła Podstawowa Nr 9,001070630     ,2022,4,801,80101,069,0,200.00,199.00,199.00,0,0,0
Szkoła Podstawowa Nr 9,001070630     ,2022,4,801,80101,075,0,107000.00,111943.50,111943.50,0,0,0
Szkoła Podstawowa Nr 9,001070630     ,2022,4,801,80101,083,0,4000.00,0,0,0,0,0
Szkoła Podstawowa Nr 9,001070630     ,2022,4,801,80101,092,0,9000.00,9181.19,9181.19,0,0,0
Szkoła Podstawowa Nr 9,001070630     ,2022,4,801,80101,097,0,1500.00,1871.17,1871.17,0,0,0
Szkoła Podstawowa Nr 9,001070630     ,2022,4,801,80148,083,0,563000.00,546865.50,546865.50,0,0,0
Szkoła Podstawowa Nr 9,001070630     ,2022,4,801,80148,097,0,7000.00,7225.00,7225.00,0,0,0
Szkoła Podstawowa Nr 2,368245067     ,2022,4,801,80101,069,0,200.00,122.00,122.00,0,0,0
Szkoła Podstawowa Nr 2,368245067     ,2022,4,801,80101,075,0,9000.00,7232.00,7232.00,0,0,0
Szkoła Podstawowa Nr 2,368245067     ,2022,4,801,80101,083,0,0,0,0,0,0,0
Szkoła Podstawowa Nr 2,368245067     ,2022,4,801,80101,092,0,4100.00,3806.95,3806.95,0,0,0
Szkoła Podstawowa Nr 2,368245067     ,2022,4,801,80101,095,0,13934.00,13933.44,13933.44,0,0,0
Szkoła Podstawowa Nr 2,368245067     ,2022,4,801,80101,097,0,1500.00,952.95,952.95,0,0,0
Szkoła Podstawowa Nr 2,368245067     ,2022,4,801,80148,083,0,225000.00,216289.10,216177.10,112.00,0,0
Szkoła Podstawowa Nr 2,368245067     ,2022,4,801,80148,097,0,4000.00,1308.00,1308.00,0,0,0
Szkoła Podstawowa Nr 1,000903334     ,2022,4,801,80101,069,0,500.00,171.00,171.00,0,0,0
Szkoła Podstawowa Nr 1,000903334     ,2022,4,801,80101,075,0,36100.00,18549.03,18549.03,0,0,0
Szkoła Podstawowa Nr 1,000903334     ,2022,4,801,80101,092,0,3900.00,4004.29,4004.29,0,0,0
Szkoła Podstawowa Nr 1,000903334     ,2022,4,801,80101,095,0,33288.00,33288.00,33288.00,0,0,0
Szkoła Podstawowa Nr 1,000903334     ,2022,4,801,80101,097,0,3500.00,32127.45,32127.45,0,0,0
Szkoła Podstawowa Nr 1,000903334     ,2022,4,801,80148,083,0,474000.00,435812.50,435812.50,0,0,0
Szkoła Podstawowa Nr 1,000903334     ,2022,4,801,80148,097,0,12000.00,10734.00,10734.00,0,0,0
Szkoła Podstawowa Nr 6,000903280     ,2022,4,801,80101,069,0,300.00,189.00,189.00,0,0,0
Szkoła Podstawowa Nr 6,000903280     ,2022,4,801,80101,075,0,10000.00,11877.75,10197.75,1680.00,1680.00,0
Szkoła Podstawowa Nr 6,000903280     ,2022,4,801,80101,092,0,3000.00,4193.46,4112.83,80.63,80.63,0
Szkoła Podstawowa Nr 6,000903280     ,2022,4,801,80101,097,0,700.00,0,0,0,0,0
Szkoła Podstawowa Nr 6,000903280     ,2022,4,801,80148,083,0,220000.00,219111.00,216854.00,2257.00,0,0
Szkoła Podstawowa Nr 6,000903280     ,2022,4,801,80148,097,0,5000.00,2126.50,2126.50,0,0,0
Szkoła Podstawowa Nr 5,000903297     ,2022,4,801,80101,069,0,1500.00,143.00,143.00,0,0,0
Szkoła Podstawowa Nr 5,000903297     ,2022,4,801,80101,075,0,30000.00,10097.55,10097.55,0,0,0
Szkoła Podstawowa Nr 5,000903297     ,2022,4,801,80101,092,0,2000.00,2269.35,2269.35,0,0,0
Szkoła Podstawowa Nr 5,000903297     ,2022,4,801,80148,083,0,100000.00,128829.00,128829.00,0,0,0
Szkoła Podstawowa Nr 5,000903297     ,2022,4,801,80148,097,0,7000.00,4568.00,4568.00,0,0,0
Szkoła Podstawowa Nr 4,000903305     ,2022,4,801,80101,069,0,100.00,81.00,81.00,0,0,0
Szkoła Podstawowa Nr 4,000903305     ,2022,4,801,80101,075,0,500.00,5226.36,4945.87,280.49,280.49,0
Szkoła Podstawowa Nr 4,000903305     ,2022,4,801,80101,092,0,0,5099.70,5072.53,27.17,27.17,0
Szkoła Podstawowa Nr 4,000903305     ,2022,4,801,80101,097,0,420.00,452.00,452.00,0,0,0
Szkoła Podstawowa Nr 4,000903305     ,2022,4,801,80148,083,0,75000.00,80642.00,81787.00,0,0,1145.00
